Epoch,Train Loss,Validation Loss,Mean Q-Error,90th Percentile Q-Error
0,473.630178,333.676239,4986.097168,4350.864258
1,155.071122,263.812714,19393.062500,7542.505859
2,70.415457,69.095520,32763.912109,18207.208984
3,42.134474,119.048363,189898.640625,41740.722656
4,20.180833,25.924486,79754.226562,37957.683594
5,25.861852,31.048334,85166.218750,39133.121094
6,9.486521,15.966469,71406.703125,38993.015625
7,7.127436,14.338720,122359.117188,47715.253906
8,6.012198,13.208242,95630.125000,45198.156250
9,5.301814,24.312187,121841.867188,44903.105469
